payee_name,part_postcode,town,county_council,parliamentary_constituency,scheme,scheme_detail,activity_level,financial_year,amount
Avery Sanford,HU17,Beverley,None,Beverley and Holderness,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2864
Yuri Kris,OX3,"Oxford, unparished area",Oxfordshire,Oxford East,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Abe Spencer,L11,"Liverpool, unparished area",None,"Liverpool, West Derby",Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Abe Spencer,L11,"Liverpool, unparished area",None,"Liverpool, West Derby",Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2954
Abe Spencer,L11,"Liverpool, unparished area",None,"Liverpool, West Derby",Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,1945
Rolf Jaskolski,BT46,None,None,Mid Ulster,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3987
Rolf Jaskolski,BT46,None,None,Mid Ulster,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2732
Rolf Jaskolski,BT46,None,None,Mid Ulster,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,2997
Rolf Jaskolski,BT46,None,None,Mid Ulster,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,3039
Rolf Jaskolski,BT46,None,None,Mid Ulster,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,4293
Herta Hamill,WA8,"Halton, unparished area",None,Halton,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,4129
Herta Hamill,WA8,"Halton, unparished area",None,Halton,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,3205
Herta Hamill,WA8,"Halton, unparished area",None,Halton,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,2938
Herta Hamill,WA8,"Halton, unparished area",None,Halton,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2735
Alia Mante,CH7,Buckley,None,Alyn and Deeside,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,3308
Alia Mante,CH7,Buckley,None,Alyn and Deeside,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,3078
Alia Mante,CH7,Buckley,None,Alyn and Deeside,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,1906
Alia Mante,CH7,Buckley,None,Alyn and Deeside,Farming Equipment and Technology Fund,General,Medium,21/22,4766
Alia Mante,CH7,Buckley,None,Alyn and Deeside,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,4143
Lori Huel,SW8,"Lambeth, unparished area",None,Vauxhall,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1631
Lori Huel,SW8,"Lambeth, unparished area",None,Vauxhall,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3629
Lori Huel,SW8,"Lambeth, unparished area",None,Vauxhall,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4726
Adalberto Pagac,TN38,"Hastings, unparished area",East Sussex,Hastings and Rye,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2079
Janene Feeney,DD11,None,None,Angus,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4237
Janene Feeney,DD11,None,None,Angus,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2313
Herman Legros,NR23,Wells-next-the-Sea,Norfolk,North Norfolk,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4049
Roseanne Rau,BA20,Yeovil,Somerset,Yeovil,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Roseanne Rau,BA20,Yeovil,Somerset,Yeovil,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4442
Roseanne Rau,BA20,Yeovil,Somerset,Yeovil,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2349
Roseanne Rau,BA20,Yeovil,Somerset,Yeovil,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3041
Kymberly Cassin,IP9,Capel St. Mary,Suffolk,South Suffolk,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,3364
Kymberly Cassin,IP9,Capel St. Mary,Suffolk,South Suffolk,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3487
Kymberly Cassin,IP9,Capel St. Mary,Suffolk,South Suffolk,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4085
Kymberly Cassin,IP9,Capel St. Mary,Suffolk,South Suffolk,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2326
Trent Conn,BT69,None,None,Fermanagh and South Tyrone,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2714
Kacey Waelchi,SY22,Llanfechain,None,Montgomeryshire,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4953
Kacey Waelchi,SY22,Llanfechain,None,Montgomeryshire,Farming Equipment and Technology Fund,General,Medium,21/22,3083
Quinton Dach,KW9,None,None,"Caithness, Sutherland and Easter Ross",Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3872
Quinton Dach,KW9,None,None,"Caithness, Sutherland and Easter Ross",Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2536
Quinton Dach,KW9,None,None,"Caithness, Sutherland and Easter Ross",Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2830
Quinton Dach,KW9,None,None,"Caithness, Sutherland and Easter Ross",Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4519
Joaquina Braun,MK2,Bletchley and Fenny Stratford,None,Milton Keynes South,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2076
Joaquina Braun,MK2,Bletchley and Fenny Stratford,None,Milton Keynes South,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,1886
Joaquina Braun,MK2,Bletchley and Fenny Stratford,None,Milton Keynes South,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,3663
Joaquina Braun,MK2,Bletchley and Fenny Stratford,None,Milton Keynes South,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2877
Joaquina Braun,MK2,Bletchley and Fenny Stratford,None,Milton Keynes South,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3908
Joaquina Braun,MK2,Bletchley and Fenny Stratford,None,Milton Keynes South,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,1985
Carlos Cummings,EN2,"Enfield, unparished area",None,Enfield North,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4936
Jake Wilderman,TW7,"Hounslow, unparished area",None,Brentford and Isleworth,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,1274
Jake Wilderman,TW7,"Hounslow, unparished area",None,Brentford and Isleworth,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,4781
Jake Wilderman,TW7,"Hounslow, unparished area",None,Brentford and Isleworth,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4187
Jake Wilderman,TW7,"Hounslow, unparished area",None,Brentford and Isleworth,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4263
Jake Wilderman,TW7,"Hounslow, unparished area",None,Brentford and Isleworth,Farming Equipment and Technology Fund,Forestry,Medium,21/22,1908
Billy West,RH8,Oxted,Surrey,East Surrey,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2894
Billy West,RH8,Oxted,Surrey,East Surrey,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4487
Jules Heidenreich,BT20,None,None,North Down,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2455
Jules Heidenreich,BT20,None,None,North Down,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2734
Jules Heidenreich,BT20,None,None,North Down,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,1337
Jules Heidenreich,BT20,None,None,North Down,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2919
Florentino Jacobson,NP23,Ebbw Vale North,None,Blaenau Gwent,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,2298
Florentino Jacobson,NP23,Ebbw Vale North,None,Blaenau Gwent,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,1783
Florentino Jacobson,NP23,Ebbw Vale North,None,Blaenau Gwent,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,3042
Florentino Jacobson,NP23,Ebbw Vale North,None,Blaenau Gwent,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4705
Florentino Jacobson,NP23,Ebbw Vale North,None,Blaenau Gwent,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3689
Florentino Jacobson,NP23,Ebbw Vale North,None,Blaenau Gwent,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3682
Harland Daniel,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,1289
Harland Daniel,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3959
Harland Daniel,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Farming Equipment and Technology Fund,Forestry,Medium,21/22,4053
Harland Daniel,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,3143
Harland Daniel,SK14,"Tameside, unparished area",None,Stalybridge and Hyde,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,3574
Cesar Runolfsson,LS29,Menston,None,Shipley,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4177
Cesar Runolfsson,LS29,Menston,None,Shipley,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,3242
Verline Kuphal,NW1W,"Camden, unparished area",None,Holborn and St Pancras,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,4569
Verline Kuphal,NW1W,"Camden, unparished area",None,Holborn and St Pancras,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,2690
Verline Kuphal,NW1W,"Camden, unparished area",None,Holborn and St Pancras,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4202
Antony Murphy,NE45,Corbridge,None,Hexham,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4709
Antony Murphy,NE45,Corbridge,None,Hexham,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4201
Jermaine Reinger,HR9,Weston under Penyard,None,Hereford and South Herefordshire,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2880
Lisette Denesik,HU3,"Kingston upon Hull, City of, unparished area",None,Kingston upon Hull West and Hessle,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2898
Lisette Denesik,HU3,"Kingston upon Hull, City of, unparished area",None,Kingston upon Hull West and Hessle,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4438
Lisette Denesik,HU3,"Kingston upon Hull, City of, unparished area",None,Kingston upon Hull West and Hessle,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2332
Lisette Denesik,HU3,"Kingston upon Hull, City of, unparished area",None,Kingston upon Hull West and Hessle,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,3158
Lisette Denesik,HU3,"Kingston upon Hull, City of, unparished area",None,Kingston upon Hull West and Hessle,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,1788
Lisette Denesik,HU3,"Kingston upon Hull, City of, unparished area",None,Kingston upon Hull West and Hessle,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,4400
Winifred Little,N11,"Enfield, unparished area",None,"Enfield, Southgate",Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,3218
Winifred Little,N11,"Enfield, unparished area",None,"Enfield, Southgate",Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,3685
Winifred Little,N11,"Enfield, unparished area",None,"Enfield, Southgate",Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Winifred Little,N11,"Enfield, unparished area",None,"Enfield, Southgate",Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2836
Winifred Little,N11,"Enfield, unparished area",None,"Enfield, Southgate",Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,3752
Lyman Lynch,WV6,Perton,Staffordshire,South Staffordshire,Farming Equipment and Technology Fund,General,Medium,21/22,4212
Leontine Weber,TN4,"Tunbridge Wells, unparished area",Kent,Tunbridge Wells,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,2724
Leontine Weber,TN4,"Tunbridge Wells, unparished area",Kent,Tunbridge Wells,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,3419
Leontine Weber,TN4,"Tunbridge Wells, unparished area",Kent,Tunbridge Wells,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4332
Leontine Weber,TN4,"Tunbridge Wells, unparished area",Kent,Tunbridge Wells,Farming Equipment and Technology Fund,General,Medium,21/22,4593
Leontine Weber,TN4,"Tunbridge Wells, unparished area",Kent,Tunbridge Wells,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,3799
Joseph Kreiger,GU17,Yateley,Hampshire,Aldershot,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2332
Joseph Kreiger,GU17,Yateley,Hampshire,Aldershot,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Joseph Kreiger,GU17,Yateley,Hampshire,Aldershot,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3638
Joseph Kreiger,GU17,Yateley,Hampshire,Aldershot,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3166
Katheryn Stracke,PE19,Buckden,Cambridgeshire,Huntingdon,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,3007
Katheryn Stracke,PE19,Buckden,Cambridgeshire,Huntingdon,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4154
Katheryn Stracke,PE19,Buckden,Cambridgeshire,Huntingdon,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,2680
Katheryn Stracke,PE19,Buckden,Cambridgeshire,Huntingdon,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,1674
Keeley Bauch,OX16,Banbury,Oxfordshire,Banbury,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4574
Keeley Bauch,OX16,Banbury,Oxfordshire,Banbury,Farming Equipment and Technology Fund,Forestry,Medium,21/22,2754
Keeley Bauch,OX16,Banbury,Oxfordshire,Banbury,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3334
Keeley Bauch,OX16,Banbury,Oxfordshire,Banbury,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4376
Keeley Bauch,OX16,Banbury,Oxfordshire,Banbury,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,4154
Keeley Bauch,OX16,Banbury,Oxfordshire,Banbury,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,1300
Duane Nicolas,PE4,"Peterborough, unparished area",None,Peterborough,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4417
Duane Nicolas,PE4,"Peterborough, unparished area",None,Peterborough,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1320
Duane Nicolas,PE4,"Peterborough, unparished area",None,Peterborough,Farming Equipment and Technology Fund,General,Medium,21/22,3105
Duane Nicolas,PE4,"Peterborough, unparished area",None,Peterborough,Farming Equipment and Technology Fund,General,Medium,21/22,2398
Duane Nicolas,PE4,"Peterborough, unparished area",None,Peterborough,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,2014
Eleonora O''Kon,BT47,None,None,Foyle,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,3561
Eleonora O''Kon,BT47,None,None,Foyle,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,2418
Eleonora O''Kon,BT47,None,None,Foyle,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,1303
Eleonora O''Kon,BT47,None,None,Foyle,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3734
Eleonora O''Kon,BT47,None,None,Foyle,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2887
Eleonora O''Kon,BT47,None,None,Foyle,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3097
Nguyet Harber,SN7,Shellingford,Oxfordshire,Wantage,Farming Equipment and Technology Fund,Forestry,Medium,21/22,1956
Nguyet Harber,SN7,Shellingford,Oxfordshire,Wantage,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3561
Nguyet Harber,SN7,Shellingford,Oxfordshire,Wantage,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,2861
Nguyet Harber,SN7,Shellingford,Oxfordshire,Wantage,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4404
Nguyet Harber,SN7,Shellingford,Oxfordshire,Wantage,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,1740
Nguyet Harber,SN7,Shellingford,Oxfordshire,Wantage,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2702
Elmer Ortiz,SS8,Canvey Island,Essex,Castle Point,Farming Equipment and Technology Fund,General,Medium,21/22,1985
Elmer Ortiz,SS8,Canvey Island,Essex,Castle Point,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Elmer Ortiz,SS8,Canvey Island,Essex,Castle Point,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2199
Elmer Ortiz,SS8,Canvey Island,Essex,Castle Point,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,2504
Elmer Ortiz,SS8,Canvey Island,Essex,Castle Point,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,3134
Audrey Parker,DD4,None,None,Dundee East,Farming Equipment and Technology Fund,General,Medium,21/22,4205
Audrey Parker,DD4,None,None,Dundee East,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,2505
Audrey Parker,DD4,None,None,Dundee East,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,2917
Mallory Williamson,GL2,"Gloucester, unparished area",Gloucestershire,Tewkesbury,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4314
Mallory Williamson,GL2,"Gloucester, unparished area",Gloucestershire,Tewkesbury,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3263
Nicholas Morissette,EH14,None,None,Edinburgh South West,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4249
Bart Jones,CA25,Cleator Moor,Cumbria,Copeland,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4901
Randy Kub,B75,Sutton Coldfield,None,Sutton Coldfield,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4833
Randy Kub,B75,Sutton Coldfield,None,Sutton Coldfield,Farming Equipment and Technology Fund,General,Medium,21/22,4691
Randy Kub,B75,Sutton Coldfield,None,Sutton Coldfield,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2280
Randy Kub,B75,Sutton Coldfield,None,Sutton Coldfield,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2128
Milda Turner,AB41,None,None,Gordon,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,1291
Milda Turner,AB41,None,None,Gordon,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,1877
Milda Turner,AB41,None,None,Gordon,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2606
Deloris McCullough,CB11,Quendon and Rickling,Essex,Saffron Walden,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,2112
Deloris McCullough,CB11,Quendon and Rickling,Essex,Saffron Walden,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,2419
Deloris McCullough,CB11,Quendon and Rickling,Essex,Saffron Walden,Farming Equipment and Technology Fund,General,Medium,21/22,2185
Deloris McCullough,CB11,Quendon and Rickling,Essex,Saffron Walden,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2260
Deloris McCullough,CB11,Quendon and Rickling,Essex,Saffron Walden,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2046
Lynwood Wintheiser,NE1,"Newcastle upon Tyne, unparished area",None,Newcastle upon Tyne Central,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3442
Lynwood Wintheiser,NE1,"Newcastle upon Tyne, unparished area",None,Newcastle upon Tyne Central,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,3987
Guy McCullough,B45,Barnt Green,Worcestershire,Bromsgrove,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3747
Jerrica Friesen,TS25,"Hartlepool, unparished area",None,Hartlepool,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,3623
Morris Sawayn,KY11,None,None,Dunfermline and West Fife,Farming Equipment and Technology Fund,Livestock Handling and weighing equipment,Medium,21/22,4063
Morris Sawayn,KY11,None,None,Dunfermline and West Fife,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3110
Morris Sawayn,KY11,None,None,Dunfermline and West Fife,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4180
Morris Sawayn,KY11,None,None,Dunfermline and West Fife,Farming Equipment and Technology Fund,Forestry,Medium,21/22,4239
Morris Sawayn,KY11,None,None,Dunfermline and West Fife,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,2178
Jackson Hegmann,YO11,"Scarborough, unparished area",North Yorkshire,Scarborough and Whitby,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3134
Jackson Hegmann,YO11,"Scarborough, unparished area",North Yorkshire,Scarborough and Whitby,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,4834
Jackson Hegmann,YO11,"Scarborough, unparished area",North Yorkshire,Scarborough and Whitby,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,4324
Jackson Hegmann,YO11,"Scarborough, unparished area",North Yorkshire,Scarborough and Whitby,Farming Equipment and Technology Fund,Other Livestock equipment,Medium,21/22,2201
Elise Schoen,BT34,None,None,South Down,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,1883
Lue Crooks,NG2,"Rushcliffe, unparished area",Nottinghamshire,Rushcliffe,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3379
Lue Crooks,NG2,"Rushcliffe, unparished area",Nottinghamshire,Rushcliffe,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,1405
Rashad Haley,BN6,Hassocks,West Sussex,Arundel and South Downs,Farming Equipment and Technology Fund,Precision and Analysis,Medium,21/22,3883
Rashad Haley,BN6,Hassocks,West Sussex,Arundel and South Downs,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3356
Rashad Haley,BN6,Hassocks,West Sussex,Arundel and South Downs,Farming Equipment and Technology Fund,General,Medium,21/22,4435
Sydney Bergnaum,NN13,Brackley,None,South Northamptonshire,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,4122
Sydney Bergnaum,NN13,Brackley,None,South Northamptonshire,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,1799
Sydney Bergnaum,NN13,Brackley,None,South Northamptonshire,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Marybeth Harris,TQ13,Moretonhampstead,Devon,Central Devon,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,4142
Marybeth Harris,TQ13,Moretonhampstead,Devon,Central Devon,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,3232
Marybeth Harris,TQ13,Moretonhampstead,Devon,Central Devon,Farming Equipment and Technology Fund,Horticulture,Medium,21/22,2624
Marybeth Harris,TQ13,Moretonhampstead,Devon,Central Devon,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2160
Imelda Anderson,M23,"Manchester, unparished area",None,Wythenshawe and Sale East,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,4741
Imelda Anderson,M23,"Manchester, unparished area",None,Wythenshawe and Sale East,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,3121
Imelda Anderson,M23,"Manchester, unparished area",None,Wythenshawe and Sale East,Sustainable Farming Incentive Pilot,Waterbody Buffering,Medium,21/22,4593
Imelda Anderson,M23,"Manchester, unparished area",None,Wythenshawe and Sale East,Farming Equipment and Technology Fund,General,Medium,21/22,2399
Lincoln Feest,BA3,Midsomer Norton,None,North East Somerset,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Breana Dibbert,BT1,None,None,Belfast South,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,2590
Breana Dibbert,BT1,None,None,Belfast South,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4073
Breana Dibbert,BT1,None,None,Belfast South,Sustainable Farming Incentive Pilot,Improved Grassland soils,Medium,21/22,2626
Marcos Altenwerth,SK11,Macclesfield,None,Macclesfield,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,3628
Marcos Altenwerth,SK11,Macclesfield,None,Macclesfield,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2995
Marcos Altenwerth,SK11,Macclesfield,None,Macclesfield,Sustainable Farming Incentive Pilot,On farm woodland,Medium,21/22,1270
Morgan Beer,MK3,West Bletchley,None,Milton Keynes South,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,2272
Erin Larson,S40,"Chesterfield, unparished area",Derbyshire,Chesterfield,Farming Equipment and Technology Fund,Forestry,Medium,21/22,3449
Erin Larson,S40,"Chesterfield, unparished area",Derbyshire,Chesterfield,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1691
Erin Larson,S40,"Chesterfield, unparished area",Derbyshire,Chesterfield,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,2697
Heide Roberts,EH52,None,None,Livingston,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2579
Heide Roberts,EH52,None,None,Livingston,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,3011
Heide Roberts,EH52,None,None,Livingston,Sustainable Farming Incentive Pilot,Hedgerow,Medium,21/22,4897
Heide Roberts,EH52,None,None,Livingston,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,1662
Heide Roberts,EH52,None,None,Livingston,Sustainable Farming Incentive Pilot,Arable and Horticultural Land,Medium,21/22,1528
Judson Sawayn,EH33,None,None,East Lothian,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,4305
Saul Abernathy,G2,None,None,Glasgow Central,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,2741
Saul Abernathy,G2,None,None,Glasgow Central,Sustainable Farming Incentive Pilot,Arable and Horticultural Soils,Medium,21/22,1589
Saul Abernathy,G2,None,None,Glasgow Central,Sustainable Farming Incentive Pilot,Improved Grassland,Medium,21/22,4108
Saul Abernathy,G2,None,None,Glasgow Central,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,4566
Saul Abernathy,G2,None,None,Glasgow Central,Sustainable Farming Incentive Pilot,Pilot Participation Payment,Medium,21/22,1250
Donnie White,HU17,Beverley,None,Beverley and Holderness,Farming Equipment and Technology Fund,Resource Management,Medium,21/22,4049
Donnie White,HU17,Beverley,None,Beverley and Holderness,Sustainable Farming Incentive Pilot,Low and no input Grassland,Medium,21/22,4614
